lambdas_norm [3.0, 6.0, 9.0] lambda_mult 0.95 musss [[[0.5, 0.5, 1.0], [1.0, 2.5, 2.0], [5.0, 3.0, 2.5]], [[8.0, 1.0, 1.5], [0.5, 1.0, 0.5], [1.5, 1.5, 2.5]]] alphas [1.0, 0.5, 0.2, 0.1, 0.05, 0.02, 0.01, 0.005, 0.002, 0.001] num_jobs 100000000
seed 0
muss [[0.5, 0.5, 1.0], [1.0, 2.5, 2.0], [5.0, 3.0, 2.5]]
alpha;mean;mean;mean;gap;gap;gap
0.005;123.09508003517463;122.67922316930911;122.35033029398828;0.6318362627867096;0.4858361129316196;0.5877031168822334;
0.002;278.5653586903015;278.14781960919026;277.81970003180277;0.6326220438489062;0.4861464284510227;0.5880695396219531;
0.001;555.4622805581788;555.0467272876273;554.7186969397754;0.632065823065516;0.4859363640732633;0.587649908031328;
muss [[8.0, 1.0, 1.5], [0.5, 1.0, 0.5], [1.5, 1.5, 2.5]]
alpha;mean;mean;mean;gap;gap;gap
1;22.438198702082435;24.953755086356328;24.060090052933297;1.7876509930214401;1.3588902966488554;0.9597185542777787;
0.5;38.14788678259725;42.55155873405981;41.28457405553509;2.921927707482078;2.103978528129643;1.3741522927269614;
0.2;82.73432220465047;92.70152091005143;90.31707806535584;6.260675772607257;4.318515763517553;2.585910418977323;
0.1;154.7078842998974;173.85864180475878;169.63904812140717;11.77342680868175;7.983363128997646;4.595900087262339;
0.05;317.2123410724767;354.9946524920414;347.0735013250006;22.96246379297412;15.421057641624975;8.686950667575804;
0.02;752.4566252026549;845.0558268676089;826.1084092471337;55.8334486566255;37.36241793874152;20.660831172142828;
0.01;1590.79167066747;1776.0524558055429;1738.9055448251197;111.5418869420115;74.31217502882659;41.113021657415445;
0.005;3002.254187595712;3372.7896101454503;3297.5907881343464;222.37482316882884;148.75146015216572;81.31261371394156;
0.002;7105.308073482553;8015.92983738829;7833.3934275707425;546.6531148399172;364.55703481478764;199.96523488136168;
0.001;13725.215900505444;15531.582112110385;15166.072237988605;1082.8244691523691;724.1289235375824;394.61838157302583;
seed 8
muss [[0.5, 0.5, 1.0], [1.0, 2.5, 2.0], [5.0, 3.0, 2.5]]
alpha;mean;mean;mean;gap;gap;gap
1;7.995251919473759;7.683466156754946;7.39341347767482;0.5682255129666145;0.46738154957074596;0.539862857296854;
0.5;8.631937480563856;8.298205833768279;7.997858339389426;0.5824638073193505;0.47030128319497155;0.5508983239231986;
0.2;10.39907009556489;10.035928817425212;9.724747176666302;0.6002193575068877;0.47445249485579255;0.5642100032848815;
0.1;13.445635432084668;13.063082365879737;12.746056087876385;0.6113809412910846;0.47789086339442693;0.57231276638986;
0.05;18.703035835020515;18.30720334760687;17.985638134649307;0.6196216775945285;0.480710567121591;0.5782873991688057;
0.02;35.81093203075782;35.402054911686605;35.076810545674675;0.6272650664222371;0.4838253203080816;0.583986128863888;
0.01;63.17162068309685;62.75810235104974;62.43097218552971;0.6303263262698355;0.48509436127577876;0.58645138398386;
0.005;117.42474950952067;117.0101916990349;116.68313136014152;0.6312579039853421;0.4856202287767186;0.5869592576636106;
0.002;282.00796693523347;281.58973138195853;281.26183321249636;0.6331177416554646;0.4863252115328786;0.5883739987866051;
0.001;558.2316500087707;557.8192754205984;557.489321215985;0.6310707356382911;0.485482168225089;0.5878847514968624;
muss [[8.0, 1.0, 1.5], [0.5, 1.0, 0.5], [1.5, 1.5, 2.5]]
alpha;mean;mean;mean;gap;gap;gap
1;22.806300290199346;25.324319089793285;24.431024204215273;1.7893880537481988;1.3596977678166544;0.9606278218817812;
0.5;37.66993369245187;42.064454614111355;40.7987280179576;2.9161665707032665;2.100150866161329;1.3711085509143868;
0.2;83.62635005806571;93.59860295831088;91.22626737771527;6.267914438937681;4.316159797515242;2.5928842784562898;
0.1;159.5302135119536;178.72356088574975;174.49083372954047;11.797259884265614;8.001733264129639;4.604333145009676;
0.05;299.28377985736813;336.8062762782818;328.8845926051087;22.788699619692068;15.33461918728466;8.607008723654632;
0.02;798.1877390526221;891.3093779121144;872.2755601289451;56.15254766918103;37.56476176714184;20.78526883632434;
0.01;1420.1777337458486;1604.1912585632595;1566.7059981046318;110.5967425227918;74.00933213194193;40.599863458074815;
0.005;2965.019431359715;3337.640397308975;3263.16465089492;224.00623295748738;149.2055714474077;82.18139472041311;
0.002;6862.150050083807;7768.329771597154;7586.01050392802;543.7629938877794;363.0040507403474;198.3074297670828;
0.001;20917.532810552893;22861.849530966145;22476.84830680602;1168.2970322565893;776.610345577321;427.43300520146397;
seed 9
muss [[0.5, 0.5, 1.0], [1.0, 2.5, 2.0], [5.0, 3.0, 2.5]]
alpha;mean;mean;mean;gap;gap;gap
1;7.944686972861776;7.6336317375403455;7.343256918921056;0.5678493855914124;0.46724588333191985;0.5396674986391634;
0.5;8.614357721156788;8.280791787293689;7.980919829483969;0.5823246304450238;0.47012981927549885;0.5507449185508734;
0.2;10.40421290643084;10.041084002598092;9.730420635306348;0.5999306355743824;0.4741952609105471;0.5639374385184475;
0.1;13.170377374310716;12.78851077865746;12.471929049362236;0.6108369738697387;0.4776037773507654;0.5718928148909954;
0.05;19.042774698538953;18.64563916412084;18.324170770411612;0.6199076126821962;0.48081591079070746;0.5786927234846287;
0.02;35.592855894975614;35.184803379035685;34.86012238840644;0.6267858311414073;0.4836051969982912;0.5836838877282607;
0.01;64.47599444803747;64.06333007130858;63.73600031832326;0.6299759397099175;0.48499094958463124;0.5864400873052372;
0.005;114.60547381935547;114.19203328585228;113.86471059529994;0.6306505155259623;0.48534922618099624;0.5868906474857882;
0.002;296.7986314635621;296.3833191011083;296.05510354053786;0.6320481791714557;0.48570772922435396;0.5880040018196826;
0.001;550.4212927317631;550.0010031105619;549.6738219724159;0.6336844765279875;0.4865440270126079;0.5887446148465311;
muss [[8.0, 1.0, 1.5], [0.5, 1.0, 0.5], [1.5, 1.5, 2.5]]
alpha;mean;mean;mean;gap;gap;gap
1;22.457879454671943;24.968173607030838;24.07549092013603;1.7844676318297976;1.3567053591117115;0.9582371479562543;
0.5;38.16703572298863;42.581161755381366;41.31160120664166;2.928013134963311;2.1079836923141593;1.3754215347704792;
0.2;85.60290186658074;95.61682422749685;93.2355550169173;6.292513697844443;4.333087666481668;2.601775311544354;
0.1;161.92671707668313;181.2472584559368;177.00468242455943;11.878738993661162;8.04757894772878;4.636426479651546;
0.05;322.1207199814148;359.94509397659505;352.0176153916277;22.988213798864553;15.437593212150233;8.697938283694297;
0.02;758.5441595646255;851.6976713478365;832.6979554563071;56.18523103016703;37.56445043153407;20.82012129957147;
0.01;1605.6850124911382;1792.810212701353;1754.9595431130183;112.54997696905943;75.16841588538544;41.37774679085775;
0.005;2945.414775141043;3317.318070107935;3242.891798264514;223.5440531636237;148.94973598889106;82.0984430353953;
0.002;7258.279206725481;8178.451121279301;7993.4657757680225;552.203440858871;368.5566759963766;202.05630821569713;
0.001;14474.491704966664;16292.216412398166;15915.808913028108;1086.7646512026563;731.5475466938028;395.10698518477983;
